PLOTID,IDENT,elev,perSlope,aspect,Northness,Sdclass,Rockiness,VallyBotFlat,topowet,PPTann,pptColdQtr,pptWarmQtr,cvTemp,TempColdMin,TempColdMean,TempWarmMean,cvRad,annMeanRad,miAnnMean,miColdQtr,miWarmQtr,T0,T1,T2,GeolID,GeolClass,SOIL,K,Thor,Uran,THtoK,TotalC,ALA,ARE,ARO,BAX,CAM,GON,LEU,MEL,OBL,OVA,PAU,RAD,RUB,SAB,SER,VER,VIC,VIMcyg,VIMvim,WIL
45,GMTW8,1124.589843,53.535535,113.062744,-0.391738929,30,10,0.00,6.57,1348,469,195,149,1,27,134,47,143,87.00,1.00,62.00,411.64,508.61,558.50,2688,Ssr, ,0.38,1.83,0.97,0.70,357.67,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
46,GBOR1,692.846862,14.13219375,259.885192,-0.175621163,15,60,0.00,10.04,937,330,136,154,15,54,165,46,153,74.40,15.00,31.00,3769.80,6376.25,8488.78,3198,Dg397, ,0.11,-1.29,-0.35,-0.14,220.90,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
47,GBOR2,722.260864,11.14716375,10.889943,0.981991889,10,95,1.44,11.56,965,339,140,154,14,51,162,46,152,76.00,14.00,33.00,9100.04,6767.07,3323.25,2688,Ssr, ,0.11,-1.75,2.53,-0.19,349.84,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,GBOR3,737.777221,72.214825,94.022277,-0.070144328,25,20,0.00,6.28,991,348,144,154,12,49,160,46,151,77.00,12.00,35.10,124.43,196.00,192.17,3198,Dg397, ,0.18,-0.84,2.61,-0.15,418.65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,GBOR4,706.092346,91.64514,56.389877,0.553538701,20,10,0.00,6.34,981,344,143,153,13,50,161,46,152,76.00,13.00,34.90,863.68,540.81,335.61,2688,Ssr, ,0.02,-0.11,2.72,0.00,477.15,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,GGLE1,426.544036,29.3897325,171.878189,-0.989969949,25,0,0.00,10.80,834,302,117,151,25,69,179,46,155,69.00,25.00,22.00,1315.89,1758.53,4544.33,2688,Ssr, ,0.46,2.17,3.04,0.99,788.99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,GGLE2,445.493469,66.62128,183.500656,-0.998134099,70,10,0.00,6.45,838,302,118,151,25,69,178,46,155,70.00,24.86,23.00,1278.31,1640.98,4396.87,2688,Ssr, ,0.44,1.93,3.48,0.85,788.62,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
52,GGLE3,299.93814,8.701950625,218.069747,-0.787260716,100,0,0.00,8.69,805,297,110,150,29,76,186,46,156,67.00,29.00,19.00,1445.16,3317.00,6515.09,2688,Ssr, ,-0.13,1.58,1.69,-0.21,778.05,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
53,GPAD1,267.472808,17.54124625,97.933876,-0.138030158,10,90,0.00,7.46,755,275,105,149,31,79,187,45,157,66.00,31.00,18.00,3926.05,6494.51,8486.69,2688,Ssr, ,0.00,-3.10,3.35,0.01,733.79,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,GPAD2,237.396423,9.46619,338.654357,0.931401559,10,85,0.00,10.33,746,272,104,149,31,79,188,45,157,65.00,31.00,18.00,10322.29,8249.43,4532.73,2688,Ssr,sandy clay loam,-0.29,-0.58,3.11,0.17,791.24,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,GPAD3,241.361526,17.48437625,339.819732,0.938611884,100,0,0.00,8.85,750,273,105,149,31,79,188,45,157,65.09,31.00,18.00,10390.10,8240.73,4449.65,2688,Ssr, ,-0.46,1.40,2.68,-0.65,822.75,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
56,GMTHOL1,296.544708,36.5561225,10.629888,0.982839258,15,95,0.00,6.99,653,230,98,158,25,74,189,44,160,62.15,24.96,16.04,821.05,2229.91,1211.29,2688,Ssr, ,-0.17,12.16,4.04,-2.08,964.64,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,GMTHOL2,280.988098,25.9636125,299.53424,0.492943597,10,85,0.00,9.79,621,218,94,158,26,76,191,44,161,61.28,26.00,15.28,976.64,903.26,3693.78,2688,Ssr, ,-0.11,11.41,3.61,-1.24,914.60,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,GMTHOL3,280.988098,25.9636125,299.53424,0.492943597,30,80,0.00,9.79,621,218,94,158,26,76,191,44,161,61.28,26.00,15.28,976.64,903.26,3693.78,2688,Ssr, ,-0.11,11.41,3.61,-1.24,914.60,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,GMTHOL4,283.331878,16.52747875,307.730865,0.61195318,10,30,0.00,6.89,607,212,92,158,27,78,192,44,162,60.00,27.00,15.00,1044.92,4012.70,3105.54,2688,Ssr, ,-0.30,9.59,3.31,-2.92,837.04,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,GMTHOL5,231.746643,25.68189,31.980537,0.848228057,100,5,0.00,8.98,619,217,94,158,27,77,191,44,161,60.18,27.00,15.00,8433.85,7577.47,5031.17,2688,Ssr, ,-0.55,10.02,3.38,-5.55,813.00,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,GHEN1,323.481353,13.3614225,260.920104,-0.157811593,25,5,0.00,9.13,751,262,111,146,30,75,181,45,156,67.00,30.00,20.00,3758.07,5882.91,8221.59,2688,Ssr,loamy sand,0.32,4.64,4.72,1.47,1083.16,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
62,GHEN2,318.542663,13.46026125,247.982925,-0.374882891,15,10,0.00,10.40,747,261,111,146,30,75,182,45,156,67.00,30.00,20.00,2860.29,5189.76,8073.05,2688,Ssr,loamy sand,0.32,4.64,4.72,1.47,1083.16,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
63,GHEN3,312.456329,20.2674575,272.800018,0.048850084,25,5,0.00,10.09,745,260,110,146,30,76,182,45,156,67.00,30.00,20.00,4676.91,6415.19,8074.23,2688,Ssr,loamy sand,0.54,2.87,4.65,1.55,1042.44,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
64,GHEN4,303.941741,10.38728375,270.738525,0.012889336,20,10,0.00,11.02,740,258,110,146,31,76,182,45,156,67.00,30.87,20.00,4484.38,6300.59,8077.08,2688,Ssr,loamy sand,1.38,-1.29,6.55,-1.79,963.93,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
65,GHEN5,316.270568,17.31924,218.325042,-0.784505412,100,5,0.00,10.15,752,265,110,146,30,76,183,45,156,67.00,30.00,20.00,1449.00,3332.56,6531.37,2688,Ssr,loamy sand,-0.32,5.14,5.02,-1.65,1015.91,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
66,GHEN6,326.996826,20.96543625,210.261062,-0.863738226,100,5,0.00,9.50,756,266,111,146,30,75,182,45,156,67.00,30.00,20.00,1402.43,2846.15,5944.55,2688,Ssr,loamy sand,-0.12,-0.99,4.91,0.12,1073.58,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
67,GHEN7,311.77951,23.06609,223.921188,-0.720294642,100,0,0.00,10.05,748,263,110,146,30,76,183,45,156,67.00,30.03,20.00,1554.77,3676.36,6863.26,2688,Ssr,loamy sand,-0.32,5.14,5.02,-1.65,1015.91,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
68,GHEN8,299.780731,20.6381075,228.826889,-0.658336278,100,0,0.00,7.25,747,263,109,146,31,77,183,45,156,67.00,31.00,20.00,1760.41,4071.21,7230.79,2688,Ssr,loamy sand,-0.31,8.91,4.45,-2.76,995.04,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
69,GHAM1,633.139099,60.589835,199.107589,-0.944905563,10,95,0.00,6.48,904,312,134,148,20,59,166,46,152,74.00,20.00,31.00,1178.41,1866.64,4700.71,2688,Ssr, ,-1.25,2.08,3.60,-2.61,1105.01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,GHAM2,606.784423,40.013475,237.035812,-0.544114728,15,85,0.00,6.95,890,308,132,148,21,60,167,46,152,74.00,20.73,30.00,1880.30,3810.60,7255.84,2688,Ssr, ,-0.49,3.56,4.42,-1.75,1037.08,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,GHAM3,583.168457,51.868625,238.388717,-0.524153623,15,90,0.00,7.74,880,304,131,148,21,61,168,46,153,73.00,21.00,29.00,1946.38,3879.88,7314.07,2688,Ssr, ,-0.49,3.56,4.42,-1.75,1037.08,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
